benchmark,|e|,total_time,fta_time,rank_time,refinement_time,other_time,number_iteration,
stackoverflow-10,1,0.075,0.052,0.007,0.005,0.011,20,
stackoverflow-6,1,0.123,0.075,0.009,0.014,0.025,42,
stackoverflow-22,1,0.057,0.037,0.005,0.006,0.009,17,
mathworks-11,1,1.193,0.598,0.076,0.318,0.201,376,
stackoverflow-21,1,0.288,0.166,0.022,0.041,0.059,127,
mathworks-2,1,0.144,0.065,0.011,0.042,0.026,42,
mathworks-5,1,0.169,0.1,0.012,0.026,0.031,52,
stackoverflow-19,1,0.21,0.116,0.015,0.041,0.038,80,
mathworks-1,1,0.232,0.107,0.006,0.079,0.04,57,
mathworks-7,1,0.063,0.041,0.005,0.005,0.012,21,
mathworks-10,1,0.357,0.109,0.014,0.192,0.042,83,
stackoverflow-13,1,0.158,0.074,0.009,0.05,0.025,44,
mathworks-4,1,0.37,0.136,0.014,0.189,0.031,67,
stackoverflow-25,1,0.178,0.086,0.006,0.046,0.04,55,
mathworks-9,1,0.321,0.11,0.017,0.146,0.048,68,
stackoverflow-7,1,0.74,0.351,0.03,0.265,0.094,193,
mathworks-14,1,2.629,1.386,0.294,0.167,0.782,536,
stackoverflow-24,1,0.163,0.085,0.013,0.032,0.033,48,
mathworks-3,1,0.27,0.157,0.016,0.044,0.053,127,
stackoverflow-9,1,0.569,0.401,0.033,0.038,0.097,93,
stackoverflow-4,1,2.338,0.314,0.023,1.955,0.046,111,
stackoverflow-3,1,0.261,0.126,0.012,0.085,0.038,62,
stackoverflow-2,1,0.518,0.242,0.032,0.167,0.077,117,
mathworks-8,1,0.081,0.052,0.01,0.005,0.014,24,
stackoverflow-12,1,0.162,0.07,0.013,0.058,0.021,37,
stackoverflow-17,1,0.451,0.222,0.031,0.141,0.057,117,
stackoverflow-5,1,0.355,0.171,0.029,0.087,0.068,142,
stackoverflow-15,1,0.099,0.056,0.015,0.008,0.02,25,
stackoverflow-14,1,9.54,0.718,0.047,8.667,0.108,187,
stackoverflow-23,1,0.585,0.186,0.021,0.312,0.066,119,
stackoverflow-8,1,0.405,0.185,0.02,0.126,0.074,153,
stackoverflow-1,1,0.076,0.05,0.012,0.005,0.009,24,
stackoverflow-16,1,1.913,0.36,0.092,1.345,0.116,236,
stackoverflow-20,1,0.354,0.158,0.019,0.124,0.053,103,
stackoverflow-11,1,0.21,0.107,0.012,0.04,0.051,83,
stackoverflow-18,1,0.191,0.116,0.019,0.017,0.039,68,
mathworks-6,1,0.488,0.251,0.038,0.124,0.075,167,
mathworks-12,1,0.477,0.212,0.043,0.131,0.091,186,
mathworks-13,,T/O,,
